"ID";"ISBN";"Título";"Categoria";"Autor";"Editora";"Volume";"Núm. Páginas";"Caixa";"Preço";"Status";"Status Integração";"Data Cadastro";"Data Publicação";"Emprestado Para"
"1";"9788551009840";"Vou Te Receitar Um Gato";"LIVRO";"";"";"1";"";"1";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"2";"9786589912125";"A Policia Secreta Para Crimes Magicos";"LIVRO";"";"";"1";"";"1";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"3";"9788578276300";"O Hobbit";"LIVRO";"";"";"1";"";"1";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"4";"9788566636086";"Os Goonies";"LIVRO";"James Kahn";"Darkside";"1";"";"1";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"5";"9788593695452";"Gostaria Tudo Com Pizza";"LIVRO";"Pedro Duarte";"";"1";"";"1";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"6";"9788592795870";"Kindred";"LIVRO";"Octavia E. Butler";"Morro Branco";"1";"432";"1";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"7";"9788545712367";"Akira";"HQ";"Katsuhiro Ōtomo";"Editora Jbc";"5";"416";"1";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"01/10/2019";""
"8";"9788545702870";"Akira";"HQ";"Katsuhiro Ōtomo";"Editora Jbc";"1";"362";"1";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"01/06/2017";""
"9";"9788545711513";"Akira";"HQ";"Katsuhiro Ōtomo";"Editora Jbc";"4";"400";"1";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"10";"9788545712374";"Akira";"HQ";"Katsuhiro Ōtomo";"Editora Jbc";"6";"440";"1";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"01/12/2019";""
"11";"9788545703679";"Akira";"HQ";"Katsuhiro Ōtomo";"Editora Jbc";"2";"304";"1";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"01/06/2018";""
"12";"9788545707226";"Akira";"HQ";"Katsuhiro Ōtomo";"Editora Jbc";"3";"288";"1";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"01/11/2018";""
"13";"9786554482356";"Almanaque Das Estaçoes";"HQ";"Kan Takahama";"";"1";"";"2";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"14";"9786586672244";"Recado A Adolf";"HQ";"Osamu Tezuka";"Editora Pipoca & Nanquim";"2";"676";"2";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"15";"9786586672220";"Recado A Adolf";"HQ";"Osamu Tezuka";"Editora Pipoca & Nanquim";"1";"612";"2";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"16";"9788595710153";"Ayako";"HQ";"Osamu Tezuka";"Editora Veneta";"1";"720";"2";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"17";"9786589912552";"A Lanterna De Nix";"HQ";"Kan Takahama";"Editora Pipoca & Nanquim";"1";"404";"2";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"18";"9786589912460";"A Lanterna De Nix";"HQ";"Kan Takahama";"";"3";"";"2";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"19";"9786589912521";"A Lanterna De Nix";"HQ";"Kan Takahama";"";"2";"";"2";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"20";"9788593695360";"O Ultimo Voo Das Borboletas";"HQ";"Kan Takahama";"Editora Pipoca & Nanquim";"1";"172";"2";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"21";"9788567566184";"Contos De Fadas";"LIVRO";"Jacob Grimm";"Wish Editora";"1";"450";"3";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"22";"9786588218853";"Contos Asiaticos";"LIVRO";"";"";"1";"";"3";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"23";"9788567566177";"Contos Nordicos";"LIVRO";"Hans Christian Andersen";"Editora";"1";"";"3";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"24";"9786588218303";"Contos Celtas";"LIVRO";"";"";"1";"";"3";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"25";"9788575327647";"O Gourmet Solitario";"HQ";"Jiro Taniguchi";"Devir";"1";"200";"3";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"26";"9788575327319";"O Homem Que Passeia";"HQ";"Jiro Taniguchi";"Devir";"1";"244";"3";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"27";"9786586672930";"A Valise Do Professor";"HQ";"Jiro Taniguchi";"";"1";"";"3";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"28";"9786586672862";"Tokyo Killers";"HQ";"Jiro Taniguchi";"";"1";"";"3";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"29";"9786586672596";"As Cronicas Da Era Do Gelo";"HQ";"Jiro Taniguchi";"Editora Pipoca & Nanquim";"2";"312";"3";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"30";"9786586672619";"As Cronicas Da Era Do Gelo";"HQ";"Jiro Taniguchi";"Editora Pipoca & Nanquim";"1";"276";"3";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"31";"9786586672923";"Um Bairro Distante";"HQ";"Jiro Taniguchi";"";"1";"";"3";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"32";"9788576574866";"Box Trilogia Fundação";"LIVRO";"Isaac Asimov";"";"1";"";"4";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"33";"9788551001226";"Materia Escura";"LIVRO";"Jonathan C. Young";"Intrinseca";"1";"";"4";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"34";"9788551005361";"Recursao";"LIVRO";"Jonathan C. Young";"";"1";"";"4";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"35";"9786589912163";"Mais Forte Que A Espada";"HQ";"Hiroshi Hirata";"";"1";"";"4";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"36";"9786589912040";"Mais Forte Que A Espada";"HQ";"Hiroshi Hirata";"";"2";"";"4";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"37";"9786586672091";"Satsuma Gishiden";"HQ";"Hiroshi Hirata";"Editora Pipoca & Nanquim";"1";"452";"4";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"38";"9786586672176";"Satsuma Gishiden";"HQ";"Hiroshi Hirata";"Editora Pipoca & Nanquim";"2";"452";"4";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"39";"9786586672183";"Satsuma Gishiden";"HQ";"Hiroshi Hirata";"Editora Pipoca & Nanquim";"3";"436";"4";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"40";"9788582863671";"Não Era Voce Quem Eu Esperava";"HQ";"Fabien Toulme";"";"1";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"41";"9788535906288";"Maus";"HQ";"";"Quadrinhos Na Cia";"1";"";"5";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"42";"9788582865194";"A Odisseia De Hakim";"HQ";"Fabien Toulme";"";"1";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"43";"9786586128338";"A Odisseia De Hakim";"HQ";"Fabien Toulme";"";"2";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"44";"9786586128420";"A Odisseia De Hakim";"HQ";"Fabien Toulme";"";"3";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"45";"9786525919553";"Acho Que Meu Filho É Gay";"HQ";"";"";"1";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"46";"9786525918846";"Acho Que Meu Filho É Gay";"HQ";"";"";"2";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"47";"9786525917177";"Acho Que Meu Filho É Gay";"HQ";"";"";"3";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"48";"9786525915883";"Acho Que Meu Filho É Gay";"HQ";"";"";"4";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"49";"9786525914800";"Acho Que Meu Filho É Gay";"HQ";"";"";"5";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"50";"9788582864715";"Duas Vidas";"HQ";"Fabien Toulme";"Nemo";"1";"272";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"51";"9786555941265";"Chi Is Sweet Home";"HQ";"こなみかなた [konami Kanata]";"Editora Jbc";"2";"160";"5";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"52";"9786555941791";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"3";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"53";"9786555942576";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"4";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"54";"9786555942989";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"5";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"55";"9786555943276";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"6";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"56";"9786555940831";"Chi Is Sweet Home";"HQ";"こなみかなた [konami Kanata]";"Editora Jbc";"1";"168";"5";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"57";"9786555944228";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"7";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"58";"9786555946604";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"12";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"59";"9786555946338";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"11";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"60";"9786555945928";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"10";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"61";"9786555945089";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"9";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"62";"9786555944525";"Chi Is Sweet Home";"HQ";"Konami Kanata";"Editora Jbc";"8";"";"5";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"63";"9788555341618";"Heartstopper";"HQ";"";"";"1";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"64";"9788555341625";"Heartstopper";"HQ";"";"";"2";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"65";"9788555341922";"Heartstopper";"HQ";"";"";"3";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"66";"9788555342066";"Heartstopper";"HQ";"";"";"4";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"67";"9788555342943";"Heartstopper";"HQ";"";"";"5";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"68";"9786554480444";"Confins De Um Sonho";"HQ";"";"";"1";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"69";"9788555340895";"Conectadas";"LIVRO";"Clara Alves";"Seguinte";"1";"";"6";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"70";"9786588343586";"A Princesa E O Queijo Quente";"HQ";"";"";"1";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"71";"9786584923362";"Amor Fati";"LIVRO";"";"";"1";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"72";"9788555341571";"A Ultima Parada";"LIVRO";"Casey Mcquiston";"Seguinte";"1";"395";"6";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"73";"9786585348119";"Orgulho E Preconceito E Nos Duas";"LIVRO";"";"";"1";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"74";"9786586015461";"A Casa No Mar Ceruleo";"LIVRO";"";"";"1";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"75";"9788583622864";"Minha Experiencia Lesbica Com A Solidao";"HQ";"";"";"1";"";"6";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"76";"9788535911626";"Persepolis";"HQ";"Marjane Satrapi";"Quadrinhos Na Cia.";"1";"352";"7";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"77";"9786555942965";"A Princesa E O Cavaleiro A Noite Da Princesa";"HQ";"";"";"1";"";"7";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
